cord_id,utility_id_ferc1,report_year,plant_name_ferc1,fuel_type_code_pudl,fuel_unit,fuel_qty_burned,fuel_mmbtu_per_unit,fuel_cost_per_unit_burned,fuel_cost_per_unit_delivered,fuel_cost_per_mmbtu,
f1_fuel_1994_12_1_0_7,1,1994,rockport,coal,ton,5377489.00,16.59,18.59,18.53,1.12,
f1_fuel_1994_12_1_0_10,1.00,1994.00,rockport total plant,coal,ton,10486945.0,16.59,18.58,18.53,1.12,
f1_fuel_1994_12_2_0_1,2.00,1994.00,gorgas,coal,ton,2978683.00,24.13,39.72,38.12,1.65,
f1_fuel_1994_12_2_0_7,2.00,1994.00,barry,coal,ton,3739484.00,23.95,47.21,45.99,1.97,
f1_fuel_1994_12_2_0_10,2.00,1994.00,chickasaw,gas,mcf,40533.00,1.00,2.77,2.77,2.57,
f1_fuel_1994_12_2_0_13,2.00,1994.00,e. c. gaston-unit 5,coal,ton,2124933.00,23.921999999999997,44.24,43.25,1.85,
f1_fuel_1994_12_2_1_1,2.00,1994.00,joseph m. farley,nuclear,kgU,2260.00,0.06,28.77,0.00,0.45,
f1_fuel_1994_12_2_1_10,2.00,1994.00,resondent's portion,coal,ton,5372133.00,24.84,58.54,55.13,2.36,
f1_fuel_1994_12_2_2_10,2.00,1994.00,respondent's portion,coal,ton,817520.00,24.29,33.97,34.65,1.40,
f1_fuel_1994_12_4_0_1,4.00,1994.00,units 1-3,coal,ton,1471233.00,22.48,28.73,28.11,1.28,
f1_fuel_1994_12_4_0_2,4.00,1994.00,units 1-3,gas,mcf,262720.00,1.03,1.94,1.94,13.90,
f1_fuel_1994_12_4_0_4,4.00,1994.00,unit 4,coal,ton,476779.00,22.43,28.71,28.11,1.28,
f1_fuel_1994_12_4_0_5,4.00,1994.00,unit 4,gas,mcf,6673.00,1.03,1.94,1.94,1.90,
f1_fuel_1994_12_6_0_1,6.00,1994.00,clinch river,coal,ton,1655558.00,25.04,30.25,29.02,1.21,
f1_fuel_1994_12_6_0_2,6.00,1994.00,clinch river,oil,bbl,6510.00,5.88,32.13,23.44,5.47,
f1_fuel_1994_12_6_0_4,6.00,1994.00,amos-apco share,coal,ton,3520831.00,24.51,44.40,42.92,1.81,
f1_fuel_1994_12_6_0_7,6.00,1994.00,amos-total,coal,ton,5327281.00,24.54,44.31,42.94,1.81,
f1_fuel_1994_12_6_0_10,6.00,1994.00,glen lyn,coal,ton,666975.00,25.836000000000002,36.27,32.89,1.40,
f1_fuel_1994_12_6_0_13,6.00,1994.00,kanawha river,coal,ton,391864.00,25.159999999999997,46.02,42.03,1.83,
f1_fuel_1994_12_6_0_14,6.00,1994.00,kanawha river,oil,bbl,3505.00,5.774958000000001,33.32,26.28,5.77,
f1_fuel_1994_12_6_1_7,6.00,1994.00,mountainr,coal,ton,2837040.00,24.53,39.91,38.72,1.63,
f1_fuel_1994_12_6_1_8,6.00,1994.00,mountainr,oil,bbl,50013.00,5.85,30.32,23.88,5.19,
f1_fuel_1994_12_6_1_10,6.00,1994.00,philip sporn-apco,coal,ton,383043.00,24.334000000000003,39.85,35.86,1.64,
f1_fuel_1994_12_6_1_11,6.00,1994.00,philip sporn-apco,oil,bbl,13969.00,5.74,32.18,30.51,5.60,
f1_fuel_1994_12_6_1_13,6.00,1994.00,philip sporn ttl plt,coal,ton,1338459.00,24.334000000000003,40.14,35.79,1.65,
